place_id;name;zone;zona_cat;rating;total_reviews;price_level;rango_precio;primary_type;tipo_comida;calificacion_cat;sentimiento;cluster;cluster_label
ChIJ2zNUw8eprI8Ryz2lgbRdX3A;Nandys Grill;San Francisco;San Francisco;4.3;1610;Económico ($);Económico ($);restaurant;Fusión;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJ91npM5uprI8R6S2PyQs5JuY;Maral Rooftop;San Francisco;San Francisco;4.2;77;Desconocido;Medio ($$);asian_fusion_restaurant;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJqzIStxKprI8RTt7LQcndAD8;Feria Xtra Río Abajo;San Francisco;San Francisco;4.2;243;Desconocido;Medio ($$);supermarket;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJ3UamtFWprI8RMP8LLI73djc;Boho Food Town;San Francisco;San Francisco;4.2;613;Desconocido;Medio ($$);asian_fusion_restaurant;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJC-tfB7GprI8RuW5_OiwbJZk;Domino's Pizza;San Francisco;San Francisco;4;821;Económico ($);Económico ($);pizza_restaurant;Italiana;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJA3rTdLmprI8RHxaQvw8uG4g;Burger King | Río Abajo;San Francisco;San Francisco;4;1218;Desconocido;Medio ($$);fast_food_restaurant;Fast Food;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJjzqWUKmprI8RPap6hyhoGpY;Papas Locas Parque Lefevre;San Francisco;San Francisco;3.8;129;Desconocido;Medio ($$);fast_food_restaurant;Fast Food;Bueno (3.5-3.9);Neutral;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJ6-QkJjuprI8Rrrr9aLOAKts;Súcaro café Bakery and Piadinas;Vía España;Vía Argentina;4.7;467;Desconocido;Medio ($$);coffee_shop;Cafetería;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJA91Zv_CorI8RI523PYkTFG8;La Rana Dorada;Vía España;Vía Argentina;4.6;3241;Moderado ($$);Medio ($$);brewpub;Americana;Excelente (4.5-5.0);Muy positivo;1;C1: Cafetería | Medio ($$) | San Francisco | ?4.6
ChIJb2cGqfCorI8RL-46fuwUoeU;El Caribe Restaurant;Vía España;Vía Argentina;4.4;912;Moderado ($$);Medio ($$);restaurant;Fusión;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJF9wyZZmprI8RTRUcGbj7o-Y;Cafe Unido Via Argentina;Vía España;Vía Argentina;4.4;608;Moderado ($$);Medio ($$);coffee_shop;Cafetería;Muy bueno (4.0-4.4);Positivo;2;C2: Fusión | Medio ($$) | Albrook | ?4.3
ChIJCQCpM_yorI8R4x_iHPioS58;Fonda Mamá Gallina Obarrio;Vía España;Vía Argentina;4.3;1509;Económico ($);Económico ($);panamanian_restaurant;Panameña;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
ChIJe57F0OyprI8R6rIlIAYpX-A;Fonda El Motete;Vía España;Vía Argentina;4;555;Económico ($);Económico ($);panamanian_restaurant;Panameña;Muy bueno (4.0-4.4);Positivo;3;C3: Fast Food | Económico ($) | Albrook | ?4.2
